ACTUALSHIPDATE,CATEGORY,WHSEID,BRAND,Total QTY,Total CBM,Week,Day
2023-01-02,DRY,WH01,ALPHA,12000,82.5,1,Monday
2023-01-09,DRY,WH01,ALPHA,13500,90.1,2,Monday
2023-01-16,DRY,WH01,ALPHA,17800,118.4,3,Monday
2023-01-23,DRY,WH01,ALPHA,21000,139.2,4,Monday
2023-02-06,DRY,WH01,ALPHA,14200,95.7,6,Monday
2023-02-13,DRY,WH02,BETA,8200,54.9,7,Monday
2023-02-20,DRY,WH02,BETA,8700,57.5,8,Monday
2023-02-27,DRY,WH02,BETA,9100,60.4,9,Monday
2023-03-06,CHILLED,WH01,GAMMA,6200,74.1,10,Monday
2023-03-13,CHILLED,WH01,GAMMA,6500,77.9,11,Monday
2023-03-20,CHILLED,WH01,GAMMA,6700,80.2,12,Monday
2023-03-27,CHILLED,WH01,GAMMA,7200,86.1,13,Monday
2024-01-01,DRY,WH01,ALPHA,15000,100.5,1,Monday
2024-01-08,DRY,WH01,ALPHA,16800,112.6,2,Monday
2024-01-15,DRY,WH01,ALPHA,22500,150.8,3,Monday
2024-01-22,DRY,WH02,BETA,9800,65.2,4,Monday
2024-01-29,DRY,WH02,BETA,12300,82.4,5,Monday
2024-02-05,DRY,WH02,BETA,16200,108.5,6,Monday
2024-02-12,CHILLED,WH01,GAMMA,7800,93.5,7,Monday
2024-02-19,CHILLED,WH01,GAMMA,7000,83.9,8,Monday
2025-01-06,DRY,WH01,ALPHA,17200,115.3,2,Monday
2025-01-13,DRY,WH01,ALPHA,24600,164.8,3,Monday
2025-01-20,DRY,WH02,BETA,14100,94.6,4,Monday
2025-01-27,DRY,WH02,BETA,18800,126.2,5,Monday
2025-02-03,CHILLED,WH01,GAMMA,8600,103.1,6,Monday
2025-02-10,CHILLED,WH01,GAMMA,7900,94.7,7,Monday
